heart_rate,timestamp,date
58,01:40,2024-12-30
57,01:42,2024-12-30
54,01:44,2024-12-30
57,01:46,2024-12-30
60,01:48,2024-12-30
51,01:50,2024-12-30
50,01:52,2024-12-30
51,01:54,2024-12-30
52,01:56,2024-12-30
51,01:58,2024-12-30
50,02:00,2024-12-30
51,02:02,2024-12-30
50,02:04,2024-12-30
50,02:06,2024-12-30
51,02:08,2024-12-30
51,02:10,2024-12-30
50,02:12,2024-12-30
50,02:14,2024-12-30
52,02:16,2024-12-30
53,02:18,2024-12-30
52,02:20,2024-12-30
59,02:22,2024-12-30
53,02:24,2024-12-30
53,02:26,2024-12-30
53,02:28,2024-12-30
51,02:30,2024-12-30
50,02:32,2024-12-30
51,02:34,2024-12-30
52,02:36,2024-12-30
53,02:38,2024-12-30
54,02:40,2024-12-30
54,02:42,2024-12-30
56,02:44,2024-12-30
52,02:46,2024-12-30
54,02:48,2024-12-30
53,02:50,2024-12-30
53,02:52,2024-12-30
53,02:54,2024-12-30
52,02:56,2024-12-30
52,02:58,2024-12-30
53,03:00,2024-12-30
52,03:02,2024-12-30
52,03:04,2024-12-30
50,03:06,2024-12-30
52,03:08,2024-12-30
52,03:10,2024-12-30
52,03:12,2024-12-30
51,03:14,2024-12-30
53,03:16,2024-12-30
55,03:18,2024-12-30
53,03:20,2024-12-30
54,03:22,2024-12-30
52,03:24,2024-12-30
51,03:26,2024-12-30
51,03:28,2024-12-30
52,03:30,2024-12-30
52,03:32,2024-12-30
52,03:34,2024-12-30
52,03:36,2024-12-30
53,03:38,2024-12-30
52,03:40,2024-12-30
55,03:42,2024-12-30
49,03:44,2024-12-30
51,03:46,2024-12-30
51,03:48,2024-12-30
51,03:50,2024-12-30
52,03:52,2024-12-30
51,03:54,2024-12-30
52,03:56,2024-12-30
52,03:58,2024-12-30
51,04:00,2024-12-30
52,04:02,2024-12-30
51,04:04,2024-12-30
52,04:06,2024-12-30
52,04:08,2024-12-30
50,04:10,2024-12-30
50,04:12,2024-12-30
49,04:14,2024-12-30
53,04:16,2024-12-30
51,04:18,2024-12-30
51,04:20,2024-12-30
52,04:22,2024-12-30
50,04:24,2024-12-30
52,04:26,2024-12-30
60,04:28,2024-12-30
49,04:30,2024-12-30
50,04:32,2024-12-30
49,04:34,2024-12-30
52,04:36,2024-12-30
56,04:38,2024-12-30
54,04:40,2024-12-30
53,04:42,2024-12-30
48,04:44,2024-12-30
49,04:46,2024-12-30
51,04:48,2024-12-30
48,04:50,2024-12-30
50,04:52,2024-12-30
46,04:54,2024-12-30
49,04:56,2024-12-30
51,04:58,2024-12-30
52,05:00,2024-12-30
49,05:02,2024-12-30
53,05:04,2024-12-30
51,05:06,2024-12-30
50,05:08,2024-12-30
51,05:10,2024-12-30
51,05:12,2024-12-30
52,05:14,2024-12-30
51,05:16,2024-12-30
51,05:18,2024-12-30
52,05:20,2024-12-30
51,05:22,2024-12-30
52,05:24,2024-12-30
51,05:26,2024-12-30
52,05:28,2024-12-30
52,05:30,2024-12-30
52,05:32,2024-12-30
56,05:34,2024-12-30
50,05:36,2024-12-30
50,05:38,2024-12-30
49,05:40,2024-12-30
50,05:42,2024-12-30
50,05:44,2024-12-30
50,05:46,2024-12-30
51,05:48,2024-12-30
51,05:50,2024-12-30
51,05:52,2024-12-30
51,05:54,2024-12-30
51,05:56,2024-12-30
51,05:58,2024-12-30
51,06:00,2024-12-30
56,06:02,2024-12-30
48,06:04,2024-12-30
49,06:06,2024-12-30
49,06:08,2024-12-30
48,06:10,2024-12-30
48,06:12,2024-12-30
48,06:14,2024-12-30
60,06:16,2024-12-30
51,06:18,2024-12-30
48,06:20,2024-12-30
49,06:22,2024-12-30
48,06:24,2024-12-30
51,06:26,2024-12-30
46,06:28,2024-12-30
51,06:30,2024-12-30
49,06:32,2024-12-30
47,06:34,2024-12-30
48,06:36,2024-12-30
48,06:38,2024-12-30
48,06:40,2024-12-30
49,06:42,2024-12-30
49,06:44,2024-12-30
50,06:46,2024-12-30
45,06:48,2024-12-30
47,06:50,2024-12-30
48,06:52,2024-12-30
47,06:54,2024-12-30
